He has complete authority today.	彼は今日完全な権限を持っています。	He (彼) / has (持っている) / complete (完全な) / authority (権限) / today (今日)
The structure was beautifully designed.	その建物は美しく設計されていました。	The (ザ) / structure (構造) / was (は) / beautifully (美しく) / designed (設計された)
International travel is exciting.	海外旅行はワクワクします。	International (インターナショナル) / travel (旅行) / is (は) / exciting (ワクワクする)
I can achieve my goal.	私は目標を達成できます。	I (私) / can (できる) / achieve (達成する) / my (私の) / goal (目標)
She received an award yesterday.	彼女は昨日賞を受け取りました。	She (彼女) / received (受けた) / an (一つの) / award (賞) / yesterday (昨日)
Invest in your future wisely.	未来に賢く投資しましょう。	Invest (投資) / in (に) / your (あなたの) / future (未来) / wisely (賢明に)
This method works really well.	この方法は本当によく効きます。	This (この) / method (方法) / works (機能する) / really (本当に) / well (うまく)
Let's analyse the results.	結果を分析しましょう。	Let's (さあ) / analyse (分析する) / the (その) / results (結果)
Former presidents often give speeches.	元大統領はしばしば演説を行います。	Former (元) / presidents (大統領) / often (しばしば) / give (行う) / speeches (演説)
She will publish her book.	彼女は本を出版する予定です。	She (彼女) / will (だろう) / publish (出版する) / her (彼女の) / book (本)
The data is very important.	データは非常に重要です。	The (その) / data (データ) / is (は) / very (非常に) / important (重要)
Exercise is very effective therapy.	運動は非常に効果的な療法です。	Exercise (運動) / is (は) / very (非常に) / effective (効果的な) / therapy (療法)
The function starts at noon.	その催しは正午に始まります。	The (その) / function (機能) / starts (始まる) / at (で) / noon (正午)
The secretary answered the phone.	秘書が電話に出ました。	The (その) / secretary (秘書) / answered (答えた) / the (その) / phone (電話)
She devised a clever scheme.	彼女は巧妙な計画を考案した。	She (彼女) / devised (工夫した) / a (ある) / clever (巧妙な) / scheme (計画)
Define your terms clearly.	用語を明確に定義してください。	Define (定義する) / your (あなたの) / terms (用語) / clearly (明確に)
The patients are recovering well.	患者たちは順調に回復しています。	The (その) / patients (患者) / are (は) / recovering (回復している) / well (順調に)
The theory was proven true.	その理論は正しいと証明されました。	The (その) / theory (理論) / was (は) / proven (証明された) / true (正しい)
Click the link to join.	リンクをクリックして参加してください。	Click (クリック) / the (ザ) / link (リンク) / to (に) / join (参加)
The results were statistically significant.	結果は統計的に有意でした。	The (その) / results (結果) / were (は) / statistically (統計的に) / significant (有意な)
Water is a vital source.	水は重要な資源です。	Water (水) / is (です) / a (一つの) / vital (重要な) / source (源)
Her response was very quick.	彼女の反応はとても速かった。	Her (彼女の) / response (返答) / was (は) / very (非常に) / quick (速かった)
She earns commission from sales.	彼女は販売からコミッションを得ています。	She (彼女) / earns (稼ぐ) / commission (手数料) / from (から) / sales (販売)
Aim for the highest goal.	最高の目標を目指せ。	Aim (目指す) / for (のために) / the (その) / highest (最高の) / goal (目標)
Experts assess the project's impact.	専門家がプロジェクトの影響を評価する。	Experts (専門家) / assess (評価する) / the (その) / project's (プロジェクトの) / impact (影響)
Our company made a profit.	我が社は利益を上げました。	Our (私たちの) / company (会社) / made (作った) / a (一つの) / profit (利益)
Weather is a major factor.	天気は重要な要因です。	Weather (天気) / is (は) / a (一つの) / major (主要な) / factor (要因)
The corporate office opens early.	本社は早く開きます。	The (その) / corporate (企業の) / office (オフィス) / opens (開く) / early (早く)
They will construct a building.	彼らは建物を建設するでしょう。	They (彼ら) / will (〜する予定) / construct (建設する) / a (一つの) / building (建物)
The parliament voted on Monday.	議会は月曜日に投票しました。	The (その) / parliament (議会) / voted (投票した) / on (に) / Monday (月曜日)
Mirrors reflect the sunlight beautifully.	鏡は太陽の光を美しく反射します。	Mirrors (鏡) / reflect (反射する) / the (その) / sunlight (日光) / beautifully (美しく)
Despite everything, we still succeeded.	それでも、私たちは成功しました。	Despite (それにもかかわらず) / everything (すべて) / we (私たちは) / still (まだ) / succeeded (成功した)
His behaviour was very strange.	彼の行動はとても奇妙でした。	His (彼の) / behaviour (行動) / was (は) / very (非常に) / strange (奇妙).
Ensure you lock the door.	ドアに鍵をかけてください。	Ensure (確実に) / you (あなたが) / lock (掛ける) / the (その) / door (ドア)
Wear appropriate shoes for hiking.	ハイキングには適切な靴を履いてください。	Wear (履く) / appropriate (適切な) / shoes (靴) / for (のために) / hiking (ハイキング)
Honesty is a key principle.	誠実さは重要な原則です。	Honesty (正直) / is (です) / a (一つの) / key (主要) / principle (原則)
She has great potential.	彼女には大きな可能性があります。	She (彼女の) / has (持っている) / great (素晴らしい) / potential (潜在力)
He is my closest relative.	彼は私の最も近しい親戚です。	He (彼) / is (は) / my (私の) / closest (最も親しい) / relative (親戚)
A university is an institution.	大学は機関です。	A (A) / university (大学) / is (は) / an (の) / institution (機関)
The cell is very small.	セルはとても小さいです。	The (その) / cell (細胞) / is (は) / very (非常に) / small (小さい)
Please review your work.	あなたの作業を確認してください。	Please (お願いします) / review (レビュー) / your (あなたの) / work (作業)
Water is a vital resource.	水は重要な資源です。	Water (水) / is (は) / a (一つの) / vital (重要な) / resource (資源)
We communicate every day.	毎日コミュニケーションを取っています。	We (私たち) / communicate (コミュニケート) / every (毎) / day (日)
The chairman announced new rules.	会長は新しい規則を発表しました。	The (その) / chairman (議長) / announced (発表した) / new (新しい) / rules (規則)
She hopes to obtain help.	彼女は助けを得たいと望んでいます。	She (彼女) / hopes (望んでいる) / to (を) / obtain (得る) / help (助け)
The provision helped everyone survive.	その供給はみんなが生き延びるのに役立ちました。	The (その) / provision (供給) / helped (助けた) / everyone (皆) / survive (生き残る)
The concept is easy.	概念は簡単です。	The (その) / concept (コンセプト) / is (は) / easy (簡単)
The campaign starts next week.	キャンペーンは来週始まります。	The (その) / campaign (キャンペーン) / starts (始まります) / next (次) / week (週)
I finished my math task.	数学の課題を終えました。	I (私) / finished (終えました) / my (私の) / math (数学) / task (課題)
Water is essential for life.	水は生命にとって不可欠です。	Water (水) / is (は) / essential (不可欠) / for (のために) / life (生命)
She became independent quickly.	彼女はすぐに自立しました。	She (彼女) / became (なった) / independent (独立した) / quickly (すぐに)
Red is a primary color.	赤は基本色です。	Red (赤) / is (は) / a (一つの) / primary (主要な) / color (色)
The managers confer about policy.	マネージャーたちは方針について協議する。	The (ザ) / managers (マネージャー) / confer (協議する) / about (について) / policy (方針)
Considerable effort was required.	かなりの努力が必要でした。	Considerable (かなりの) / effort (努力) / was (だった) / required (必要とされた)
The survey results were surprising.	アンケートの結果は驚くべきものでした。	The (その) / survey (調査) / results (結果) / were (は) / surprising (驚くべき).
They distribute food today.	彼らは今日食べ物を配ります。	They (彼ら) / distribute (配る) / food (食物) / today (今日)
Strategy guides business decisions.	戦略がビジネスの意思決定を導く。	Strategy (戦略) / guides (ガイド) / business (ビジネス) / decisions (決定)
They promote healthy eating habits.	彼らは健康的な食習慣を促進します。	They (彼ら) / promote (促進する) / healthy (健康的な) / eating (食事) / habits (習慣)
The math problem was complex.	数学の問題は複雑だった。	The (その) / math (数学の) / problem (問題) / was (は) / complex (複雑だった)
Math division is sometimes hard.	数学の割り算は時々難しいです。	Math (数学) / division (除算) / is (は) / sometimes (時々) / hard (難しい)
Reveal the secret now.	今すぐ秘密を明かして。	Reveal (明かす) / the (その) / secret (秘密) / now (今)
Estimate the total cost.	合計費用を見積もってください。	Estimate (見積もる) / the (その) / total (総) / cost (費用)
They manufacture wooden furniture.	彼らは木製家具を製造しています。	They (彼ら) / manufacture (製造する) / wooden (木製の) / furniture (家具)
Find an alternative option quickly.	迅速に代替案を見つけてください。	Find (見つける) / an (ある) / alternative (代替) / option (選択肢) / quickly (早く)
Please sign this document.	この書類に署名してください。	Please (お願いします) / sign (サイン) / this (この) / document (書類)
Water is an essential element.	水は不可欠な要素です。	Water (水) / is (です) / an (一つの) / essential (不可欠な) / element (要素)
Procedure requires careful attention.	手順には細心の注意が必要です。	Procedure (手順) / requires (必要とする) / careful (注意深い) / attention (注意)
The technology sector is growing.	テクノロジー分野は成長しています。	The (ザ) / technology (テクノロジー) / sector (セクター) / is (は) / growing (成長している)
